Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: main,[SHORT-BRIEF]: Starting Program
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Load,[SHORT-BRIEF]: Loading casino from file
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: main,[SHORT-BRIEF]: Casino Loaded Successfully
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: ReadPeopleFile,[SHORT-BRIEF]:  Success Loading 10000 users 
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->50; [TYPE]->6;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->12,3;[winProbability]->0.250000;[Failures]->0;[betAmount]->4847.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->18; [TYPE]->6;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->5,2;[winProbability]->0.550000;[Failures]->0;[betAmount]->1026.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->7; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->19.500000;[X,Y]->2,3;[winProbability]->0.100000;[Failures]->0;[betAmount]->0.000000;[usage]->3
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->50; [TYPE]->6;		[STATE]->ON;[TEMPERATURE]->19.000000;[X,Y]->12,3;[winProbability]->0.250000;[Failures]->0;[betAmount]->331.000000;[usage]->2
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->4; [TYPE]->1;		[STATE]->BROKEN;[TEMPERATURE]->19.000000;[X,Y]->1,4;[winProbability]->0.400000;[Failures]->0;[betAmount]->960.000000;[usage]->2
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->23; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->19.000000;[X,Y]->6,3;[winProbability]->0.100000;[Failures]->0;[betAmount]->0.000000;[usage]->2
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->60; [TYPE]->1;		[STATE]->ON;[TEMPERATURE]->19.500000;[X,Y]->18,1;[winProbability]->0.100000;[Failures]->0;[betAmount]->451.000000;[usage]->3
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->28; [TYPE]->1;		[STATE]->ON;[TEMPERATURE]->20.000000;[X,Y]->7,4;[winProbability]->0.400000;[Failures]->0;[betAmount]->754.000000;[usage]->4
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->2; [TYPE]->1;		[STATE]->ON;[TEMPERATURE]->19.000000;[X,Y]->1,2;[winProbability]->0.400000;[Failures]->0;[betAmount]->686.000000;[usage]->2
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->24; [TYPE]->1;		[STATE]->BROKEN;[TEMPERATURE]->19.000000;[X,Y]->6,4;[winProbability]->0.250000;[Failures]->0;[betAmount]->3494.000000;[usage]->2
